adduser	3.118ubuntu5
libxcb-glx0	1.14-3ubuntu3
libxcb-present0	1.14-3ubuntu3
libxcb-randr0	1.14-3ubuntu3
libxcb-render0	1.14-3ubuntu3
libxcb-shape0	1.14-3ubuntu3
libxcb-shm0	1.14-3ubuntu3
libxcb-sync1	1.14-3ubuntu3
libxcb-xfixes0	1.14-3ubuntu3
libxcb1	1.14-3ubuntu3
libxcomposite1	1:0.4.5-1build2
libxcursor1	1:1.2.0-2build4
libxdamage1	1:1.1.5-2build2
libxdmcp6	1:1.1.3-0ubuntu5
libxext6	2:1.3.4-1build1
libxfixes3	1:6.0.0-1
libxft2	2.3.4-1
libxi6	2:1.8-1build1
libxinerama1	2:1.1.4-3
libxkbcommon0	1.4.0-1
libxkbfile1	1:1.1.0-1build3
libxm4	2.3.8-3
libxml-parser-perl	2.46-3ubuntu0.1
libxml-twig-perl	1:3.52-1
libxml-xpathengine-perl	0.14-1
libxml2	2.9.13+dfsg-1ubuntu0.11
libxmlb2	0.3.6-2build1
libxmlsec1	1.2.33-1build2
libxmlsec1-openssl	1.2.33-1build2
libxmu6	2:1.1.3-3
libxmuu1	2:1.1.3-3
libxpm4	1:3.5.12-1ubuntu0.22.04.2
libxrandr2	2:1.5.2-1build1
libxrender1	1:0.9.10-1build4
libxshmfence1	1.3-1build4
libxslt1.1	1.1.34-4ubuntu0.22.04.5
libxss1	1:1.2.3-1build2
libxt6	1:1.2.1-1
libxtables12	1.8.7-1ubuntu5.2
libxtst6	2:1.2.3-1build4
libxv1	2:1.0.11-1build2
libxvidcore4	2:1.3.7-1
libxxf86dga1	2:1.1.5-0ubuntu3
libxxf86vm1	1:1.1.4-1build3
libxxhash0	0.8.1-1
libyaml-0-2	0.2.2-1build2
libzimg2	3.0.3+ds1-1
libzmq5	4.3.4-2
libzstd1	1.4.8+dfsg-3build1
libzvbi-common	0.2.35-19
libzvbi0	0.2.35-19
libzzip-0-13	0.13.72+dfsg.1-1.1
linux-base	4.5ubuntu9
linux-firmware	20220329.git681281e4-0ubuntu3.40
linux-generic	5.15.0.181.164
linux-headers-5.15.0-177	5.15.0-177.187
linux-headers-5.15.0-177-generic	5.15.0-177.187
linux-headers-5.15.0-181	5.15.0-181.191
linux-headers-5.15.0-181-generic	5.15.0-181.191
linux-headers-generic	5.15.0.181.164
linux-image-5.15.0-124-generic	5.15.0-124.134
linux-image-5.15.0-173-generic	5.15.0-173.183
linux-image-5.15.0-174-generic	5.15.0-174.184
linux-image-5.15.0-177-generic	5.15.0-177.187
linux-image-5.15.0-181-generic	5.15.0-181.191
linux-image-5.15.0-56-generic	5.15.0-56.62
linux-image-generic	5.15.0.181.164
linux-libc-dev	5.15.0-181.191
linux-modules-5.15.0-124-generic	5.15.0-124.134
linux-modules-5.15.0-173-generic	5.15.0-173.183
linux-modules-5.15.0-174-generic	5.15.0-174.184
linux-modules-5.15.0-177-generic	5.15.0-177.187
linux-modules-5.15.0-181-generic	5.15.0-181.191
linux-modules-5.15.0-56-generic	5.15.0-56.62
linux-modules-extra-5.15.0-124-generic	5.15.0-124.134
linux-modules-extra-5.15.0-173-generic	5.15.0-173.183
linux-modules-extra-5.15.0-174-generic	5.15.0-174.184
linux-modules-extra-5.15.0-177-generic	5.15.0-177.187
linux-modules-extra-5.15.0-181-generic	5.15.0-181.191
linux-modules-extra-5.15.0-56-generic	5.15.0-56.62
linux-modules-nvidia-535-server-5.15.0-173-generic	5.15.0-173.183
linux-modules-nvidia-535-server-5.15.0-174-generic	5.15.0-174.184
linux-modules-nvidia-535-server-5.15.0-177-generic	5.15.0-177.187+1
linux-modules-nvidia-535-server-5.15.0-181-generic	5.15.0-181.191
linux-modules-nvidia-535-server-generic	5.15.0-181.191
linux-objects-nvidia-535-server-5.15.0-173-generic	5.15.0-173.183
linux-objects-nvidia-535-server-5.15.0-174-generic	5.15.0-174.184
linux-objects-nvidia-535-server-5.15.0-177-generic	5.15.0-177.187+1
linux-objects-nvidia-535-server-5.15.0-181-generic	5.15.0-181.191
linux-signatures-nvidia-5.15.0-177-generic	5.15.0-177.187+1
linux-signatures-nvidia-5.15.0-181-generic	5.15.0-181.191
lmodern	2.004.5-6.1
locales	2.35-0ubuntu3.13
login	1:4.8.1-2ubuntu2.2
logrotate	3.19.0-1ubuntu1.1
logsave	1.46.5-2ubuntu1.2
lsb-base	11.1.0ubuntu4
lsb-release	11.1.0ubuntu4
lshw	02.19.git.2021.06.19.996aaad9c7-2build1
lsof	4.93.2+dfsg-1.1build2
lto-disabled-list	24
lvm2	2.03.11-2.1ubuntu4
lxd-agent-loader	0.5
make	4.3-4.1build1
man-db	2.10.2-1
manpages	5.10-1ubuntu1
manpages-dev	5.10-1ubuntu1
mawk	1.3.4.20200120-3
mdadm	4.2-0ubuntu2
media-types	7.0.0
mesa-va-drivers	23.2.1-1ubuntu3.1~22.04.3
mesa-vdpau-drivers	23.2.1-1ubuntu3.1~22.04.3
modemmanager	1.20.0-1~ubuntu22.04.4
motd-news-config	12ubuntu4.7
mount	2.37.2-4ubuntu3.5
mtr-tiny	0.95-1
multipath-tools	0.8.8-1ubuntu1.22.04.4
nano	6.2-1ubuntu0.2
ncurses-base	6.3-2ubuntu0.1
ncurses-bin	6.3-2ubuntu0.1
ncurses-term	6.3-2ubuntu0.1
needrestart	3.5-5ubuntu2.4
netbase	6.3
netcat-openbsd	1.218-4ubuntu1
netplan.io	0.106.1-7ubuntu0.22.04.4
networkd-dispatcher	2.1-2ubuntu0.22.04.2
nftables	1.0.2-1ubuntu3
nodejs	24.15.0-1nodesource1
ntfs-3g	1:2021.8.22-3ubuntu1.3
nvidia-compute-utils-535-server	535.309.01-0ubuntu0.22.04.1
nvidia-firmware-535-server-535.309.01	535.309.01-0ubuntu0.22.04.1
nvidia-headless-no-dkms-535-server	535.309.01-0ubuntu0.22.04.1
nvidia-kernel-common-535-server	535.309.01-0ubuntu0.22.04.1
nvidia-kernel-source-535-server	535.309.01-0ubuntu0.22.04.1
nvidia-utils-535-server	535.309.01-0ubuntu0.22.04.1
ocl-icd-libopencl1	2.2.14-3
open-iscsi	2.1.5-1ubuntu1
open-vm-tools	2:12.3.5-3~ubuntu0.22.04.3
openssh-client	1:8.9p1-3ubuntu0.15
openssh-server	1:8.9p1-3ubuntu0.15
openssh-sftp-server	1:8.9p1-3ubuntu0.15
openssl	3.0.2-0ubuntu1.25
os-prober	1.79ubuntu2
overlayroot	0.47ubuntu1
packagekit	1.2.5-2ubuntu3.1
packagekit-tools	1.2.5-2ubuntu3.1
parted	3.4-2build1
passwd	1:4.8.1-2ubuntu2.2
pastebinit	1.5.1-1ubuntu1
patch	2.7.6-7build2
pci.ids	0.0~2022.01.22-1
pciutils	1:3.7.0-6
perl	5.34.0-3ubuntu1.5
perl-base	5.34.0-3ubuntu1.5
perl-modules-5.34	5.34.0-3ubuntu1.5
perl-openssl-defaults	5build2
pinentry-curses	1.1.1-1build2
pkexec	0.105-33ubuntu0.1
plymouth	0.9.5+git20211018-1ubuntu3
plymouth-theme-ubuntu-text	0.9.5+git20211018-1ubuntu3
pocketsphinx-en-us	0.8.0+real5prealpha+1-14ubuntu1
policykit-1	0.105-33ubuntu0.1
polkitd	0.105-33ubuntu0.1
pollinate	4.33-3ubuntu2.3
poppler-data	0.4.11-1
poppler-utils	22.02.0-2ubuntu0.13
powermgmt-base	1.36
preview-latex-style	12.2-1ubuntu1
procps	2:3.3.17-6ubuntu2.1
ps-guest-agent	1.0.22
psmisc	23.4-2build3
publicsuffix	20211207.1025-1
python-apt-common	2.4.0ubuntu4.1
python-babel-localedata	2.8.0+dfsg.1-7
python3	3.10.6-1~22.04.1
python3-apport	2.20.11-0ubuntu82.10
python3-apt	2.4.0ubuntu4.1
python3-attr	21.2.0-1
python3-automat	20.2.0-1
python3-babel	2.8.0+dfsg.1-7
python3-bcrypt	3.2.0-1build1
python3-blinker	1.4+dfsg1-0.4
python3-certifi	2020.6.20-1
python3-cffi-backend	1.15.0-1build2
python3-chardet	4.0.0-1
python3-click	8.0.3-1
python3-colorama	0.4.4-1
python3-commandnotfound	22.04.0
python3-configobj	5.0.6-5ubuntu0.1
python3-constantly	15.1.0-2
python3-cryptography	3.4.8-1ubuntu2.4
python3-dbus	1.2.18-3build1
python3-debconf	1.5.79ubuntu1
python3-debian	0.1.43ubuntu1.1
python3-distro	1.7.0-1
python3-distro-info	1.1ubuntu0.2
python3-distupgrade	1:22.04.20
python3-distutils	3.10.8-1~22.04
python3-gdbm	3.10.8-1~22.04
python3-gi	3.42.1-0ubuntu1
python3-hamcrest	2.0.2-2
python3-httplib2	0.20.2-2
python3-hyperlink	21.0.0-3
python3-idna	3.3-1ubuntu0.1
python3-importlib-metadata	4.6.4-1
python3-incremental	21.3.0-1
python3-jeepney	0.7.1-3
python3-jinja2	3.0.3-1ubuntu0.4
python3-json-pointer	2.0-0ubuntu1
python3-jsonpatch	1.32-2
python3-jsonschema	3.2.0-0ubuntu2
python3-jwt	2.3.0-1ubuntu0.3
python3-keyring	23.5.0-1
python3-launchpadlib	1.10.16-1
python3-lazr.restfulclient	0.14.4-1
python3-lazr.uri	1.0.6-2
python3-lib2to3	3.10.8-1~22.04
python3-magic	2:0.4.24-2
python3-markupsafe	2.0.1-2build1
python3-minimal	3.10.6-1~22.04.1
python3-more-itertools	8.10.0-2
python3-netifaces	0.11.0-1build2
python3-newt	0.52.21-5ubuntu2
python3-oauthlib	3.2.0-1ubuntu0.1
python3-openssl	21.0.0-1ubuntu0.1
python3-pexpect	4.8.0-2ubuntu1
python3-pkg-resources	59.6.0-1.2ubuntu0.22.04.3
python3-problem-report	2.20.11-0ubuntu82.10
python3-ptyprocess	0.7.0-3
python3-pyasn1	0.4.8-1ubuntu0.2
python3-pyasn1-modules	0.2.1-1
python3-pyparsing	2.4.7-1
python3-pyrsistent	0.18.1-1build1
python3-requests	2.25.1+dfsg-2ubuntu0.3
python3-secretstorage	3.3.1-1
python3-serial	3.5-1
python3-service-identity	18.1.0-6
python3-setuptools	59.6.0-1.2ubuntu0.22.04.3
python3-six	1.16.0-3ubuntu1
python3-software-properties	0.99.22.9
python3-systemd	234-3ubuntu2
python3-twisted	22.1.0-2ubuntu2.7
python3-tz	2022.1-1ubuntu0.22.04.1
python3-update-manager	1:22.04.10
python3-urllib3	1.26.5-1~exp1ubuntu0.7
python3-wadllib	1.3.6-1
python3-xkit	0.5.0ubuntu5
python3-yaml	5.4.1-1ubuntu1
python3-zipp	1.0.0-3ubuntu0.1
python3-zope.interface	5.4.0-1build1
python3.10	3.10.12-1~22.04.15
python3.10-minimal	3.10.12-1~22.04.15
rake	13.0.6-2
readline-common	8.1.2-1
rpcsvc-proto	1.4.2-0ubuntu6
rsync	3.2.7-0ubuntu0.22.04.7
rsyslog	8.2112.0-2ubuntu2.2
ruby	1:3.0~exp1
ruby-net-telnet	0.1.1-2
ruby-rubygems	3.3.5-2ubuntu1.2
ruby-webrick	1.7.0-3ubuntu0.2
ruby-xmlrpc	0.3.2-1ubuntu0.1
ruby3.0	3.0.2-7ubuntu2.12
rubygems-integration	1.18
run-one	1.17-0ubuntu1
sbsigntool	0.9.4-2ubuntu2
screen	4.9.0-1ubuntu0.1
secureboot-db	1.8
sed	4.8-1ubuntu2.1
sensible-utils	0.0.17
session-migration	0.3.6
sg3-utils	1.46-1ubuntu0.22.04.1
sg3-utils-udev	1.46-1ubuntu0.22.04.1
shared-mime-info	2.1-2
snapd	2.73+ubuntu22.04.1
software-properties-common	0.99.22.9
sosreport	4.5.6-0ubuntu1~22.04.2
squashfs-tools	1:4.5-3build1
ssh-import-id	5.11-0ubuntu1
strace	5.16-0ubuntu3
sudo	1.9.9-1ubuntu2.6
systemd	249.11-0ubuntu3.21
systemd-hwe-hwdb	249.11.5
systemd-sysv	249.11-0ubuntu3.21
systemd-timesyncd	249.11-0ubuntu3.21
sysvinit-utils	3.01-1ubuntu1
t1utils	1.41-4build2
tar	1.34+dfsg-1ubuntu0.1.22.04.2
tcl	8.6.11+1build2
tcl8.6	8.6.12+dfsg-1build1
tcpdump	4.99.1-3ubuntu0.2
telnet	0.17-44build1
tex-common	6.17
tex-gyre	20180621-3.1
texlive-base	2021.20220204-1
texlive-bibtex-extra	2021.20220204-1
texlive-binaries	2021.20210626.59705-1ubuntu0.3
texlive-fonts-recommended	2021.20220204-1
texlive-latex-base	2021.20220204-1
texlive-latex-extra	2021.20220204-1
texlive-latex-recommended	2021.20220204-1
texlive-pictures	2021.20220204-1
texlive-plain-generic	2021.20220204-1
thermald	2.4.9-1ubuntu0.4
thin-provisioning-tools	0.9.0-2ubuntu1
tilix	1.9.4-2build1
tilix-common	1.9.4-2build1
time	1.9-0.1build2
tipa	2:1.3-21
tk	8.6.11+1build2
tk8.6	8.6.12-1build1
tmux	3.2a-4ubuntu0.2
tnftp	20210827-4build1
tpm-udev	0.6
tzdata	2026a-0ubuntu0.22.04.1
ubuntu-advantage-tools	27.14.4~22.04
ubuntu-drivers-common	1:0.9.6.2~0.22.04.10
ubuntu-keyring	2021.03.26
ubuntu-minimal	1.481.4
ubuntu-mono	20.10-0ubuntu2
ubuntu-release-upgrader-core	1:22.04.20
ubuntu-server	1.481.4
ubuntu-server-minimal	1.481.4
ubuntu-standard	1.481.4
ucf	3.0043
udev	249.11-0ubuntu3.21
udisks2	2.9.4-1ubuntu2.3
ufw	0.36.1-4ubuntu0.1
unattended-upgrades	2.8ubuntu1
unzip	6.0-26ubuntu3.2
update-manager-core	1:22.04.10
update-notifier-common	3.192.54.8
upower	0.99.17-1
usb-modeswitch	2.6.1-3ubuntu2
usb-modeswitch-data	20191128-4
usb.ids	2022.04.02-1
usbmuxd	1.1.1-2ubuntu0.1
usbutils	1:014-1build1
usrmerge	25ubuntu2
util-linux	2.37.2-4ubuntu3.5
uuid-runtime	2.37.2-4ubuntu3.5
va-driver-all	2.14.0-1
vdpau-driver-all	1.4-3build2
vim	2:8.2.3995-1ubuntu2.31
vim-common	2:8.2.3995-1ubuntu2.31
vim-runtime	2:8.2.3995-1ubuntu2.31
vim-tiny	2:8.2.3995-1ubuntu2.31
wget	1.21.2-2ubuntu1.1
whiptail	0.52.21-5ubuntu2
wireless-regdb	2025.10.07-0ubuntu1~22.04.1
x11-common	1:7.7+23ubuntu2
x11-utils	7.7+5build2
x11-xserver-utils	7.7+9build1
xauth	1:1.1-1build2
xaw3dg	1.5+F-1build1
xdg-user-dirs	0.17-2ubuntu4
xdg-utils	1.1.3-4.1ubuntu3~22.04.1
xe-guest-utilities	7.20.2-0ubuntu1~22.04.2
xfonts-encodings	1:1.0.5-0ubuntu2
xfonts-utils	1:7.7+6build2
xfsprogs	5.13.0-1ubuntu2
xkb-data	2.33-1
xpdf	3.04+git20220201-1
xxd	2:8.2.3995-1ubuntu2.31
xz-utils	5.2.5-2ubuntu1.1
zerofree	1.1.1-1build3
zip	3.0-12build2
zlib1g	1:1.2.11.dfsg-2ubuntu9.2
zstd	1.4.8+dfsg-3build1
